"id","slug","title","content","created_at"
"2378570b-9264-47c7-a541-cd7e54bcfa34","tomas_trick_for_baking_potatoes","Tomas' trick for baking potatoes","  ...so they get nice and crispy                                                                 
                                                                                                 
                                                                                                 
                                                                                                 
         ╭───────────────────────────────╮             ╭──────────────────────────────────────╮  
         │ boil the potatoes (in pieces) │             │ heat up the baking tray in the oven, │  
         │                               │             │  at ±200°C                           │  
         │  as long as you dare to       │             │                                      │  
         │  ▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔       │             │ with a layer of oil in it            │  
         │ (the longer the better, but,  │             │ ▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔            │  
         │  also more change they'll     │             ╰───┬──────────────────────────────────╯  
         │  crumble when straining       │                 │                                     
         │                               │                 │                                     
         ╰─────────────────────┬─────────╯                 │                                     
                               │                           │                                     
                               │                           ╵                                     
                               ╰──────────────────╴ add to the hot oil-tray                      
                                                                                                 
                                               ╭╴                                ╶╮              
                                               │   they'll now instantly start    │              
                                               │  getting crispy on the outside,  │              
                                               │ while staying soft on the inside │              
                                               ╰╴                                ╶╯              ","2024-11-30 10:57:20.81124+00"
"a0d975e1-f6f4-4ce8-afc0-40760affe1d2","tiramisu","Tiramisu","
  TIRAMISU
  ========

                     ─╮
  4 large egg yolks   │ beat  ─╮
                     ─╯        │                   ─╮
  1/2 C sugar                  │ beat; optionally   │      ─╮
  1/2 C amaretto               │  whisk over steam  │       │      ─╮
                      ╶╶╶╶╶╶╶╶─╯                    │ beat  │       │
  500g mascarpone                                   │       │ fold  │                ─╮
                     ─╮              ╶╶╶╶╶╶╶╶╶╶╶╶╶╶─╯       │  in   │                 │
  1 C heavy cream     │ whip to                             │       │ assemble        │
                     ─╯  heavy peaks                        │       │  in layers,     │
                                         ╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶─╯       │  end with       │ sprinkle on top,
                  ─╮            ─╮                                  │  cream mixture  │  then refrigerate
  400 mL espresso  │ dissolve    │                                  │  on top         │  for +- 4 hours
  2 tsp sugar      │  and cool   │ soak for 2 seconds               │                 │
                  ─╯             │  each time                       │                 │
                                 │                                  │                 │
  about 40 ladyfingers           │                                  │                 │
                                ─╯        ╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶─╯                 │
                                                                                      │
  2 TB cocoa powder                                                                   │      
                         ╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶╶─╯
","2024-11-30 10:57:41.198233+00"
"6e72b121-6e0a-4c6b-9a62-9a6bc05be4fa","spinach_enchiladas","Spinach enchiladas","
  RED ENCHILADA SAUCE                                                 ENCHILADAS                                              
  ▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔▔                                                 ▔▔▔▔▔▔▔▔▔▔                                              
  (Make this first -- it's waay to stressful to try                                                                           
   to make it + the enchiladas as the same time XD)                             ╭───────────╮                                 
                                                                                │           │                                 
                                                                  Start with    │     ╭─────┴─────────╮                       
  ╭────────────────────────────╮                                ╭────────────╮  │     │ ±500g spinach │                       
  │ 3 TB flour                 │                                │ Oil        │  │     ╰───────────────╯                       
  │ 1 1/2 - 2 tsp chili powder │                                │ Onion      │  │           │                                 
  │ 1 tsp cumin                │                                │ Garlic     │  │       cook down       ╭──────╮              
+ │ 1/2 tsp tsp garlic powder  │                                │ Some salt  │  │       in bunches      │      ╵              
  │ 1/4 tsp oregano            │      ╭──────────╮              ╰────────┬───╯  │           ╷           │     +add            
  │ 1/4 tsp salt               │      │ 3 TB oil │                       │      │           ╵           │   ╭──────────────╮  
  │ 1/8 tsp cinnamon           │      ╰────┬─────╯                       ╰──────╯        remove         │   │ Feta         │  
  ╰────────────────────────────╯           ╵                                            from heat ──────╯   │ Black olives │  
         mix in a                    heat until simmering                                                   │ Beans        │  
         small bowl                        ╷                                                                │ ..whatever   │  
             ╷                             │                                                                │              │  
             ╰─────────────────────────────┤                                                                ╰───┬──────────╯  
                                           ╵                                                                    │             
                                  until fragrant and darkened                                    ╭──────────────╯             
                                          (±1 min)                                               ╵                            
           ╭───────────────────╮           ╷                                                    +add                          
         + │ 2 TB tomato paste │           │                                                 ╭──────────────────╮             
           │ 2 C veggie broth  ├───────────┤                                                 │ ±1/2 C sour cream│             
           ╰───────────────────╯           ╵                                                 ╰──┬───────────────╯             
                                   whisk in slowly, then                                        │                             
                                simmer and whisk for ±5 min                                     ╵                             
                                           ╷                              - Roll 'm into a baking dish lined w/ sauce         
                                           ╵                              - Cover w/ more sauce & cheese                      
                                      remove from                                            ╷                                
                                          heat                                               ╵                                
                   ╭───────────────╮       ╷                                      Bake for 20m @ 190°C                        
                 + │ 1 tsp vinegar │       │                                                 ╷                                
                   │ black pepper  ├───────┤                                                 ╵                                
                   ╰───────────────╯       │                                  Sprinkle w/ some chopped cilantro               
                                           ╵                                                                                  
                                          DONE                                                                                ","2024-11-30 10:57:57.770204+00"
"68ab9e29-9bfa-4289-8c2b-b9f36ffdfaa9","russian_teacakes","Russian teacakes","
  RUSSIAN TEACAKES
  ================

╭ * 225g (1 C) butter
│ * 1 tsp vanilla sugar or extract
│ * 6 TB powdered sugar              (+ more)
│
│ * 2 C flour
│ * 1 C finely chopped (wal)nuts
╰ * 1/4 tsp salt

➭ Knead well

➭ Roll into 1 inch balls,
   separate 2 inches from each other

➭ Bake @ 180ºC for about 10-12min,
   until lightly golden

➭ When cooled, roll in powdered sugar,
   and possibly repeat a second time
","2024-11-30 10:58:10.923467+00"
"7c8ab44a-717d-4ccc-95cc-7e3ec007c78d","poppy_seed_cake","Poppy seed cake","
  POPPY SEED CAKE
  ===============

                            ──╮
  * 2 3/4 C sugar             │
  * 1 C oil                   │   mix the
  * 3 large eggs              │    ~WET~
  * 1 1/2 tsp vanilla sugar   │ ingredients
  * 1 tsp almond extract      │
                            ──╯

                 ╭──
       and the   │  * 3 C flour
        `DRY`    │  * 2 TB poppy seeds (more!)
     ingredients │  * 1 1/2 tsp baking powder
                 │  * 1/2 tsp salt
                 ╰──

                                  │
          alternatily add to      │
  * <─────  wet mixture,      ────╯
            together with:

  * 1 1/2 C milk


  Bake @ 180ºC for 45-50 min

  (knife should come out clean)
","2024-11-30 10:58:26.98876+00"
"f7e9639c-fdc3-4a4c-9c99-d8205fe9c845","gingerbread_men","Gingerbread men","
  GINGERBREAD MEN
  ===============

╭─── wet ingredients ─────────────╮         ╭─── DRY ingredients ─────────────╮
│                                 │         │                                 │
  Cream until light & fluffly:                * 3 C flour
    (+- 5min)                                 * 3 tsp baking powder
                                              * 1 TB ginger
    * 85g butter                              * 2 tsp cinnamon
    * 3/4C brown suger                        * 1 tsp allspice (piment),
                                                  or just more ""koekkruiden""
  Then add:                                   * 1/4 (or more?) tsp cloves
                                            │                                 │
    * 1 large egg                           ╰───┬─────────────────────────────╯
    * 2 tsp (vanilla) aroma                     │
                                                │
  And:                                          │
                                                │
│   * 1/2C mollasses (yum!)       │             │
│                                 │             │
╰─────────────────────────────────╯             │
                                                │
  Gradually add:                                │
                                                │
    * <─────────────────────────────────────────╯


  ~~ R E F R I G E R A T E ~~  for at least 2h, until FIRM


  * Roll out to be 1 cm thicc
  * Cut out

  Bake @ 180ºC for about 12min
","2024-11-30 10:58:54.114159+00"
"7cf1fa50-d44f-4889-9a55-56668aaff65d","_404","404","
  ╭────────────────────────────╮  
  │                            │  
  │  Sorry, this recipe was    │  
  │                            │  
  │     :N O T    F O U N D:   │  
  │                            │  
  ╰────────────────────────────╯  
","2024-11-30 10:59:25.999156+00"
"9dd595f5-b619-437c-8409-bd1d789952fa","apple_pie","Apple pie","Select tart juicy apples: elstar, decorf, braeburn, alkeme, granny
 smith, etc. I usually use a mixture of several diferent varieties.

1. Mix together:     - 3/4 to 1 C sugar
                     - 1 tsp cinnamon (and maybe some nutmeg, too)
                     - 2 to 3 TB flour
                     * 6 to 7 C sliced apples

2. Heap up in pastry-lined pan, then
3.  dot with 1 to 2 TB butter and
4.  cover with top crust.

Bake until crust is nicely browned and apples are cooked through
 (test this with a fork).

200 °C, 50 to 60 min.

With a convection oven you have the chance that the crust will
 burn on the edges. Use top/bottom heating if your oven has it.
","2024-11-30 14:48:12.545992+00"
"379695ae-ebc2-4221-a5ff-b6fd1751f669","pie_crust","Pie Crust"," -- Makes two halves, one for the top, and one for
     the bottom of the pastry. So remember to halve
     the recipe when you're just making a quiche!

   3/4 C   butter
   1/4 C   boiling water
   1 TB    milk
   1 tsp   salt (use less if the butter is salted!)
   2 tsp   sugar
   2 C     flour

Try to mash up the butter and milk (hopefully,
 your butter is soft because you left it outside
 the refrigerator some a while...)

Mix the dry ingredients, and then add them
 to the butter mixture.

Knead lightly, divide in half, and roll out on
 a floured board.

-- Make some slits so steam can escape while baking!
-- Possibly pre-bake 5 or 10 min when making a quiche!
","2024-11-30 14:29:21.154098+00"
"26f6f248-226b-4e53-a1ba-c5bfa0a19cf2","pizza_dough","Pizza dough","  PIZZA DOUGH    * 1 big round pizza ±40 cm
  ===========    * bake at 230 C for 15-20 min

  2.5 C  flour  ──╮
  1 tsp  salt     │
  1 tsp  sugar    │   ──╮
  2 TB   oil    ──╯     │
                        │  1. stir (40) times
                        │  2. knead
  1 TB dry              │  3. sit 5-45 min (cover w/ wet cloth / wrap)
  -- or --   yeast      │  4. spread or roll
  25g fresh             │  5. sit 5 min
                        │
  dissolve in...        │
  1 C    cold water   ──╯                          
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
","2024-11-30 10:58:40.439579+00"
